kind,group,id,name_zh,path,bytes,sha256,native_name_matches,native_check
metadata_or_generator,ArtSupport,build_asset_inventory,build_asset_inventory,ThreeHearthsVillage/Art/build_asset_inventory.py,14093,b6ca8196e319e7071875f873dbf1c7cb79e5ca1d442a388ba8afee365c0269be,,
metadata_or_generator,GoodsKit,artifact-manifest,artifact-manifest,ThreeHearthsVillage/Art/GoodsKit/artifact-manifest.json,4449,86c5a7cda45c188d1f5b30d376e581ac0c73c8f6d799527463a86647accf1a0b,,
metadata_or_generator,GoodsKit,create_goods_kit,create_goods_kit,ThreeHearthsVillage/Art/GoodsKit/create_goods_kit.py,16772,c856deeb523fc09c46e42e462f068de3ecdd4ba78aa7ed856d799c535491b3c9,,
metadata_or_generator,GoodsKit,goods_geometry,goods_geometry,ThreeHearthsVillage/Art/GoodsKit/goods_geometry.py,5559,da4ddfb9704ba4ddce294fad74bf652fe45d88a37e2da9e416300f6aa72cf84a,,
blender_source,GoodsKit,GoodsKit,GoodsKit,ThreeHearthsVillage/Art/GoodsKit/GoodsKit.blend,260169,0f9ba3c59aadec7e898c2c68cf8dba6780a6b8ad0ff5e58f3c7651e21433bb91,,
metadata_or_generator,GoodsKit,generate-request,generate-request,ThreeHearthsVillage/Art/GoodsKit/mcp/generate-request.json,334,225d0cc80bcb0dca5ba9af0dc74ff477cb750f4f88880447f225a9f8b276ae24,,
metadata_or_generator,GoodsKit,render-overview-request,render-overview-request,ThreeHearthsVillage/Art/GoodsKit/mcp/render-overview-request.json,351,174e1f75b8942ea1d7d0eb3958c219ecc46218244abcbaf20bb08faf39ad7581,,
metadata_or_generator,GoodsKit,render-scale-request,render-scale-request,ThreeHearthsVillage/Art/GoodsKit/mcp/render-scale-request.json,402,b12fcdc82c1a194823051144000a622d8bd908b1d65d6c1b31280229fee68fe2,,
metadata_or_generator,GoodsKit,source-audit-request,source-audit-request,ThreeHearthsVillage/Art/GoodsKit/mcp/source-audit-request.json,1047,7b248deaf419fb9d5f715cc4224840805f3a818dda3d17a271d47c8dd509ce8d,,
metadata_or_generator,GoodsKit,model-report,model-report,ThreeHearthsVillage/Art/GoodsKit/model-report.json,5219,4c30b57907894dcb27ecb44d02a6ab46b7a162134ef543462e0619ba372d0837,,
metadata_or_generator,GoodsKit,module-specs,module-specs,ThreeHearthsVillage/Art/GoodsKit/module-specs.json,11197,3d809dce7d8fd4200f676e13022332771ddfcc02e6a95d1b7ae6097e84e82367,,
module,GoodsKit,goods_bricks_crate,烧制砖块箱,ThreeHearthsVillage/Art/GoodsKit/modules/goods_bricks_crate.glb,149056,f53e21dac64d790b30b40f56c3b7c593f9b50e8088a3bebbd96bf1d9742bc3c2,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_bricks_crate/goods_bricks_crate.uasset,发现同名UE原生包；不等于已接入玩法
